[22.03.2016 | 01:36:40] [Team2] William.Mcmillen: g
[22.03.2016 | 01:36:46] [Team2] Ryan.McMillen: g
[22.03.2016 | 14:21:24] [Team3] Talorin.Goldberry: y
[22.03.2016 | 19:38:33] [Team11] Marcel.Zockerhd: ja
[22.03.2016 | 19:39:07] [Team11] Marcel.Zockerhd: why
[22.03.2016 | 19:39:42] [Team11] Marcel.Zockerhd: wir haben unsere uniform an
[22.03.2016 | 19:40:22] [Team11] Marcel.Zockerhd: wiso ferst du dan zu dem helikopta platz wen du das weist
[08.04.2016 | 17:55:21] [Team2] Ryan.McMillen: x
[09.04.2016 | 17:19:06] [Team3] Mr.Pedo: y
[09.04.2016 | 17:19:16] [Team3] Ron.Noname: Ich bin Erstmal Off Essen u. So ;:)
[09.04.2016 | 17:19:20] [Team3] Mr.Jacksons: Georg?
[09.04.2016 | 20:08:55] [Team3] Mr.Jacksons: alex welchem ts biste?
[09.04.2016 | 20:09:05] [Team3] Mr.Jacksons: und wo biste?
[09.04.2016 | 20:09:12] [Team3] Mr.Pedo: Regel mit dennen xd
[09.04.2016 | 20:09:17] [Team3] Mr.Pedo: hab grad Intertranse angeballert
[09.04.2016 | 20:09:18] [Team3] Mr.Jacksons: was?
[09.04.2016 | 20:09:23] [Team3] Mr.Jacksons: haben se dich erwischt?
[09.04.2016 | 20:10:13] [Team3] Mr.Pedo: Jap ;=
[09.04.2016 | 20:10:18] [Team3] Mr.Jacksons: fuck alter..
[09.04.2016 | 20:10:26] [Team3] Mr.Jacksons: red dich raus und dann komm wieder ts
[09.04.2016 | 20:15:45] [Team3] Mr.Jacksons: hahahahah xDDDDDDDDDDDDD
[09.04.2016 | 20:16:33] [Team3] Mr.Jacksons: gott alter xDD
[09.04.2016 | 20:16:40] [Team3] Mr.Pedo: was sagen die
[09.04.2016 | 20:29:38] [Team2] Jay.Mcmillen: xD
[09.04.2016 | 20:29:44] [Team2] Jay.Mcmillen: richtige Fags
[09.04.2016 | 20:29:49] [Team2] Ryan.McMillen: isso
[09.04.2016 | 20:37:22] [Team2] Jay.Mcmillen: xD
[09.04.2016 | 20:37:58] [Team2] Jay.Mcmillen: rlly Nigga
[09.04.2016 | 20:38:00] [Team2] Jay.Mcmillen: xD
[09.04.2016 | 20:38:16] [Team2] Jay.Mcmillen: digger ist der Dumm ?
[09.04.2016 | 20:39:49] [Team2] Ryan.McMillen: jap
[09.04.2016 | 20:41:23] [Team2] Jay.Mcmillen: Digger 21 Uhr
[09.04.2016 | 20:43:32] [Team2] Jay.Mcmillen: Bin umgekippt xDDD
[09.04.2016 | 20:44:02] [Team2] Jay.Mcmillen: #Tötetn bevor es eier legt.
[09.04.2016 | 23:54:13] [Team2] Ryan.McMillen: Falls trotzdem fragen bestehen nur zu^^
[10.04.2016 | 00:02:41] [Team2] Jay.Mcmillen: Hello
[11.04.2016 | 20:46:56] [Team7] Webi.Profi: Die*
[11.04.2016 | 20:47:40] [Team7] Webi.Profi: Infernus? :o
[11.04.2016 | 21:02:24] [Team7] Webi.Profi: Yeaha ;D
[13.04.2016 | 15:24:48] [Team7] Webi.Profi: gtg
[09.05.2016 | 16:56:59] [Team1] Florian.Pacman: yxscdaaaaaaaaaaa
[29.06.2016 | 20:20:05] [Team3] Marcel.Redhead: l
[29.06.2016 | 20:20:14] [Team3] Tom.Reck: a
[01.07.2016 | 18:15:09] [Team3] Tom.Reck: wie kann man orten
[01.07.2016 | 18:29:16] [Team3] Marcel.Redhead: wo befinden sie sich
[01.07.2016 | 18:31:43] [Team3] Tom.Reck: In einer FahrPrüfung
