[22.03.2016 | 16:21:55] Talorin.Goldberry: Jemand ne Ahnung wo die vinetwork Base ist? Chat per /ooc [Text]
[23.03.2016 | 16:05:32] Talorin.Goldberry: Hi
[23.03.2016 | 21:40:08] Talorin.Goldberry: Irgendwie hab ich grad auf nix Lust :P
[23.03.2016 | 21:40:20] Matze.Gamingtv: Das glaub ich dir
[23.03.2016 | 21:40:52] Matze.Gamingtv: Dann Spiel doch einfach, Richte dir deine Base ein.
[23.03.2016 | 21:41:08] Matze.Gamingtv: Du kannst aber auch kurz als InterTrans On gehen, Und die ganzen Lieferungen fahren
[23.03.2016 | 21:41:19] Matze.Gamingtv: Also Entpacken
[23.03.2016 | 21:41:23] Talorin.Goldberry: Mach ich
[23.03.2016 | 21:41:44] Matze.Gamingtv: .....
[23.03.2016 | 21:41:57] Matze.Gamingtv: Heute hat sich jemand gemeldet der ins Team wollte als Scripter
[23.03.2016 | 21:41:58] Talorin.Goldberry: Irgendwie spawnen die Fraki Autos nicht neu. Oder gibts da nen Befehl
[23.03.2016 | 21:42:15] Matze.Gamingtv: Nein, Die stehen dort wo die zuletzt waren
[23.03.2016 | 21:42:27] Talorin.Goldberry: Das is ja doof
[23.03.2016 | 21:42:38] Matze.Gamingtv: Im echten leben gehts ja auch nicht
[23.03.2016 | 21:42:41] Talorin.Goldberry: Wer?
[23.03.2016 | 21:43:30] Matze.Gamingtv: Buzz
[23.03.2016 | 21:43:59] Talorin.Goldberry: Kenn i glaub ich. War der Mapper bei Vita?
[23.03.2016 | 21:44:15] Matze.Gamingtv: So weit ich weiß nicht
[23.03.2016 | 21:44:25] Talorin.Goldberry: Dann verwechsel ich den
[23.03.2016 | 21:44:30] Matze.Gamingtv: Der will das Script nach Los Santos Verlegen
[23.03.2016 | 21:44:51] Matze.Gamingtv: Jetzt erkläre mir mal wie er das machen will wenn 80% vom Script in jeder Stadt ist?
[23.03.2016 | 21:45:44] Talorin.Goldberry: Was hat der denn geraucht
[23.03.2016 | 21:46:23] Matze.Gamingtv: ACHTUNG
[23.03.2016 | 21:46:36] Talorin.Goldberry: Wat?
[23.03.2016 | 21:47:52] Matze.Gamingtv: Sry
[23.03.2016 | 21:48:02] Matze.Gamingtv: Bei mir war ein Trailer Verbugt
[23.03.2016 | 21:48:16] Talorin.Goldberry: Wo sind die Pakete zum entpacken?
[23.03.2016 | 21:48:22] Talorin.Goldberry: Ares?
[23.03.2016 | 21:48:26] Matze.Gamingtv: Ares Autohaus
[23.03.2016 | 21:48:50] Talorin.Goldberry: Komme
[23.03.2016 | 21:52:49] Matze.Gamingtv: Kommen noch welche
[23.03.2016 | 21:53:51] Matze.Gamingtv: Wenn du Fahrzeuge brachst sag bescheid
[23.03.2016 | 21:54:09] Talorin.Goldberry: Ich brauch für Feuerwehr welche
